
% @ CAY Data: 1951Q4 - 2009Q1
% http://www.econ.nyu.edu/user/ludvigsons/
% 
% Log, real, per capita data.  See the appendix of 
% "Understanding Trend and Cycle in Asset Values: Reevaluating the Wealth Effect on Consumption" NBER WP #9848
% paper for a detailed data description.  The data are updated based on 
% "Consumption, Aggregate Wealth, and Expected Stock Returns" Journal of Finance, June 2001.
% 
% NOTE: 
%  
%  - The asset wealth variable in this file is measured at the END-OF-PERIOD, 
%  e.g. the observation in 1952Q4 is wealth as of December 31 1952.
%  
%  - The DLS procedure used to estimate the cointegration coefficients includes 8 leads and lags.
%  
%  - In 2003, the BEA undertook comprehensive revisions of all NIPA data series. This resulted in 
%    a number of changes of data classification and data measurement, see 
%    http://faculty.haas.berkeley.edu/lettau/data/Data_Revision_2003.txt for more details.
% 
% 
% 
%date       c		   a               y              cay=c - 0.1969 a - 0.6830 y (demeaned) @
 197001    9.46284929466  11.02963532882  9.24294460422   0.004014066751
 197002    9.46411984544  10.99058216056  9.26310675133  -0.000798280473
 197003    9.47142524868  11.01506034145  9.26742403431  -0.001260199108
 197004    9.47497422122  11.02819058618  9.25982001438   0.004897549446
 197101    9.47758477838  11.06108478141  9.27735996242  -0.010946977984
 197102    9.48001081257  11.06549434970  9.29168331104  -0.019171783955
 197103    9.48174952645  11.06575345928  9.29233441085  -0.017928775828
 197104    9.49077029665  11.08086095712  9.29927772993  -0.016624243007
 197201    9.50025907384  11.10696013032  9.30731766688  -0.017764446767
 197202    9.51522062252  11.11252161832  9.31539933844  -0.009417454342
 197203    9.52458546684  11.12623006696  9.32525258198  -0.009480907186
 197204    9.53918534764  11.17066594998  9.35797073571  -0.025974803166
 197301    9.54571021960  11.15836385348  9.37030381627  -0.025451663928
 197302    9.54569218535  11.14515741060  9.37485496365  -0.025978372742
 197303    9.54961658823  11.16616550002  9.37529192033  -0.026487940101
 197304    9.54755239378  11.12904735280  9.37962607492  -0.024205484727
 197401    9.53859755302  11.10208922986  9.36787723261  -0.019829087005
 197402    9.54110988384  11.06590507231  9.36605155956  -0.008946824885
 197403    9.54422150085  11.01744986315  9.36615992695   0.003629388260
 197404    9.54380733563  11.01895351468  9.35826045539   0.008314535039
 197501    9.54606725167  11.05611663170  9.35428918036   0.005971103255
 197502    9.55783129953  11.09193428157  9.39976813168  -0.020377671561
 197503    9.56096420186  11.06145556411  9.38312713188   0.000120839866
 197504    9.56602955454  11.07199948841  9.39182690258  -0.002831336750
 197601    9.57892570496  11.09856842173  9.40755379207  -0.005906803842
 197602    9.58699368639  11.12118615351  9.41248129671  -0.005656686409
 197603    9.59443115938  11.12149068344  9.41922529709  -0.002885290640
 197604    9.60436179388  11.13002360005  9.42311897542   0.002706234527
 197701    9.60939740916  11.12666668220  9.42319895201   0.008348049387
 197702    9.60819635994  11.13820844277  9.43132138464  -0.000672637432
 197703    9.61386020406  11.14117735522  9.44342062051  -0.003856972927
 197704    9.62220560846  11.14601769027  9.45355356622  -0.003385176062
 197801    9.63105284441  11.15084686187  9.45792727202   0.001524191123
